person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
26;1;26_1;06:00:00;00:17:37;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
26;2;26_2;06:47:37;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
27;1;27_1;06:00:00;00:15:28;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
27;2;27_2;06:45:28;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
28;1;28_1;06:00:00;00:17:15;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
28;2;28_2;06:47:15;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
29;1;29_1;06:00:00;00:15:23;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
29;2;29_2;06:45:23;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
30;1;30_1;06:00:00;00:15:24;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
30;2;30_2;06:45:24;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
31;1;31_1;06:00:00;00:17:37;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
31;2;31_2;06:47:37;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
32;1;32_1;06:00:00;00:15:21;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
32;2;32_2;06:45:21;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
33;1;33_1;06:00:00;00:17:26;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
33;2;33_2;06:47:26;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
34;1;34_1;06:00:00;00:17:26;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
34;2;34_2;06:47:26;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
35;1;35_1;06:00:00;00:17:26;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
35;2;35_2;06:47:26;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
36;1;36_1;06:00:00;00:15:17;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
36;2;36_2;06:45:17;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
37;1;37_1;06:00:00;00:15:17;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
37;2;37_2;06:45:17;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
38;1;38_1;06:00:00;00:15:20;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
38;2;38_2;06:45:20;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
39;1;39_1;06:00:00;00:17:15;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
39;2;39_2;06:47:15;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
40;1;40_1;06:00:00;00:17:04;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
40;2;40_2;06:47:04;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
41;1;41_1;06:00:00;00:17:04;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
41;2;41_2;06:47:04;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
42;1;42_1;06:00:00;00:17:15;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
42;2;42_2;06:47:15;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
43;1;43_1;06:00:00;00:17:15;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
43;2;43_2;06:47:15;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
